turn_idx	side	word_count	cos_HB	cos_HN-D	cos_HN-S	cos_HP-D	cos_HP-S	cos_LN	cos_LP	cos_NB	cos_NP	cos_MR	closest
0	a	7	0.44732913	0.40889946	0.4454763	0.46071634	0.44962946	0.4470447	0.4677142	0.5018026	0.45596185	0.48259038	NB
1	b	44	0.4225756	0.38605767	0.41623235	0.4343983	0.4236278	0.42157498	0.43872675	0.47014073	0.43217242	0.4518975	NB
2	a	115	0.44396105	0.41487443	0.43312865	0.46834892	0.446053	0.43745634	0.45569536	0.4673748	0.4543186	0.4598058	HP-D
3	b	193	0.4342741	0.40207458	0.4219628	0.45852625	0.44846043	0.42176262	0.45025662	0.46348804	0.44905743	0.4577677	NB
4	a	186	0.4291117	0.398067	0.42529982	0.43784988	0.4167795	0.42073864	0.44224	0.4551344	0.42983535	0.46069655	MR
5	b	143	0.45375034	0.42765093	0.44736433	0.4674882	0.47106785	0.44155797	0.46300563	0.47683597	0.4685855	0.4794273	MR
6	a	130	0.44133052	0.4091309	0.42552266	0.4582862	0.4422889	0.4255567	0.44924808	0.46445233	0.44449285	0.46358296	NB
7	b	172	0.44578692	0.41811064	0.4327625	0.4619876	0.44892347	0.43251687	0.45395958	0.4662215	0.4502667	0.46667686	MR
8	a	118	0.43972218	0.40869313	0.4315072	0.45891172	0.45027035	0.42560625	0.45194352	0.46514353	0.44723997	0.47076032	MR
9	b	149	0.44204485	0.414139	0.43322653	0.45496374	0.4523695	0.43103805	0.45012623	0.4629256	0.4480505	0.46531898	MR
10	a	81	0.42164338	0.39978397	0.4182368	0.4379159	0.44582918	0.42159194	0.44451106	0.4498047	0.44419196	0.45754886	MR
11	b	86	0.41595027	0.3945303	0.41014168	0.43451777	0.43685699	0.41026726	0.43253008	0.4377023	0.43311074	0.44553027	MR
12	a	29	0.4051045	0.38331655	0.4047407	0.42289823	0.43062267	0.41276684	0.43815485	0.440354	0.43525562	0.45098174	MR
13	b	13	0.4002073	0.37431335	0.39773205	0.41997474	0.4218276	0.40409788	0.4330123	0.44140247	0.42604893	0.44250742	MR
14	a	8	0.4346664	0.40244803	0.4331308	0.45328963	0.45202464	0.44109398	0.47048885	0.48191577	0.46267578	0.47884133	NB
15	b	6	0.43780598	0.40829092	0.43547836	0.45755172	0.46199986	0.44219226	0.47581837	0.48395887	0.46956298	0.48662382	MR
16	a	6	0.4568061	0.42517537	0.4526519	0.47620144	0.47924727	0.46016464	0.49450892	0.50456744	0.48695317	0.5095122	MR
17	b	6	0.4694171	0.43610752	0.46527463	0.4902625	0.4931057	0.4706465	0.5060725	0.5169125	0.49843532	0.5235505	MR
18	a	6	0.4978467	0.45891348	0.49234596	0.5194471	0.51534194	0.4967353	0.532751	0.5475076	0.52166003	0.5555108	MR
19	b	6	0.50622785	0.46503186	0.50084674	0.52763087	0.5213718	0.5041653	0.5397167	0.55776036	0.5279608	0.56382674	MR
20	a	6	0.5176583	0.4740566	0.51157683	0.5386467	0.5289318	0.51486707	0.5500112	0.57058734	0.53665036	0.5759763	MR
21	b	6	0.5150231	0.47172597	0.50923467	0.53629386	0.52712303	0.5124171	0.54819083	0.56844854	0.5347898	0.574054	MR
22	a	6	0.5201905	0.47584715	0.5139351	0.5407162	0.530138	0.5175129	0.55256605	0.5738261	0.5384634	0.57902867	MR
23	b	6	0.5172944	0.47329885	0.51159966	0.53844064	0.5287458	0.51473385	0.55023646	0.57146037	0.53686774	0.57682425	MR
