turn_idx	side	word_count	cos_HB	cos_HN-D	cos_HN-S	cos_HP-D	cos_HP-S	cos_LN	cos_LP	cos_NB	cos_NP	cos_MR	closest
0	a	49	0.49183047	0.4434537	0.4842129	0.50790054	0.4924803	0.4905066	0.5199533	0.5559585	0.5040764	0.53917736	NB
1	b	167	0.44303668	0.40802824	0.43805873	0.45717883	0.4489293	0.44806585	0.47296116	0.49371395	0.46010122	0.49257696	NB
2	a	193	0.45297235	0.41453555	0.44528902	0.46629208	0.45113945	0.45516568	0.47864574	0.4954448	0.46447325	0.5013426	MR
3	b	197	0.44862577	0.4096413	0.4406919	0.4573194	0.4369974	0.4429818	0.46464863	0.48334825	0.44923773	0.49511737	MR
4	a	186	0.46358687	0.42313114	0.45277596	0.4691192	0.44626555	0.4559257	0.47288778	0.4934278	0.46016756	0.5054593	MR
5	b	193	0.4784531	0.43652648	0.46942717	0.48233643	0.4611728	0.47601387	0.49224257	0.5122415	0.47847247	0.5246132	MR
6	a	172	0.46092096	0.4186542	0.45106116	0.46771052	0.44804054	0.45345166	0.47248173	0.4941662	0.45931876	0.5050874	MR
7	b	194	0.45516878	0.4146095	0.4480851	0.45897496	0.44223586	0.4510561	0.46643505	0.48666278	0.45331112	0.4968156	MR
8	a	202	0.47098854	0.42966163	0.46296352	0.4725107	0.45005107	0.46827614	0.4802682	0.5001869	0.46742022	0.5135249	MR
9	b	184	0.44941384	0.4115481	0.43934685	0.45133117	0.43448934	0.44413105	0.45874748	0.47697985	0.44821712	0.48976642	MR
10	a	194	0.47720298	0.4360612	0.4670501	0.48040107	0.46142387	0.4745511	0.49169624	0.5101501	0.4788917	0.5245248	MR
11	b	184	0.4766128	0.44114217	0.47149795	0.47801015	0.45806518	0.4764856	0.48466566	0.50398356	0.47598326	0.5145595	MR
12	a	191	0.47985232	0.43512842	0.46736968	0.48405743	0.46336377	0.47339544	0.49570814	0.5155608	0.48002273	0.5283198	MR
13	b	205	0.45258233	0.41571057	0.44521242	0.45730475	0.43697152	0.45219642	0.46775144	0.48531556	0.45352793	0.5009508	MR
14	a	194	0.4871594	0.4479649	0.4805979	0.49200526	0.47211832	0.4863119	0.49950463	0.52024305	0.48693871	0.5345448	MR
15	b	198	0.4660447	0.4239195	0.45644557	0.4721032	0.45212245	0.462409	0.48061082	0.50154656	0.4690758	0.5143116	MR
16	a	196	0.47171256	0.43058217	0.46146125	0.47836745	0.46094513	0.4679845	0.4893144	0.5070837	0.47608453	0.520935	MR
17	b	192	0.49749067	0.45529673	0.48880142	0.5051922	0.48476323	0.49568668	0.5166817	0.5366744	0.5010971	0.54403484	MR
18	a	186	0.4597976	0.41667768	0.4482763	0.46416587	0.44161364	0.4545046	0.47114503	0.49093372	0.45860237	0.5056365	MR
19	b	193	0.4590777	0.42036968	0.45048156	0.46357527	0.4365273	0.45846516	0.4704414	0.48874524	0.45307267	0.49841356	MR
20	a	202	0.46737093	0.42716303	0.4605735	0.4711951	0.44913658	0.46362117	0.4757533	0.49936423	0.4632076	0.50946957	MR
21	b	185	0.45329478	0.41663334	0.44558275	0.4597249	0.44438726	0.4507047	0.469203	0.48343736	0.4581589	0.50060475	MR
22	a	193	0.484745	0.44353747	0.47776982	0.48806512	0.46790463	0.48365015	0.49881077	0.5191404	0.48362246	0.5334149	MR
23	b	194	0.4787853	0.43840042	0.47064346	0.48259532	0.46544164	0.4786185	0.4979163	0.51463395	0.48134062	0.52916807	MR
